"Spp","S1","S2","S3","S4","S5","S6"
"Synchelidium spp.",2398,1626,811,1275,1343,7079
"Tridentella spp.",2048,1125,528,1990,1098,1274
"Nerine cirratulus",37,165,1141,1540,118,53
"Nephtys californiensis",544,875,404,170,58,90
"Glycera tenuis",265,566,106,646,133,118
"Donax gouldii",914,75,42,5,5,15
"Orchestoidea benedicti",11,251,133,79,162,245
"Archaeomysis spp.",958,90,160,37,522,111
"Armadillium spp.",59,155,91,16,208,283
"Megalopus spp.",149,266,48,30,0,0
"Emerita analoga",101,16,96,27,0,10
"Pontharpinia spp.",69,96,11,16,0,0
"Euzonus mucronata",0,0,37,341,0,0
"Lepidopa californica",5,69,16,0,16,0
"Magelona californica",0,5,5,0,42,10
"Hanstorina spp.",0,16,5,0,0,0
"Glycera dibranchiata",0,0,0,0,5,0
"Archaeomysis maculata",0,0,0,5,0,0
